url,status
https://www.webopedia.com/definitions/computer/,"Error: Message: element not interactable
  (Session info: chrome=139.0.7258.128); For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors#elementnotinteractableexception
Stacktrace:
	GetHandleVerifier [0x0x11fffc3+65331]
	GetHandleVerifier [0x0x1200004+65396]
	(No symbol) [0x0xff3dc0]
	(No symbol) [0x0x103db4b]
	(No symbol) [0x0x1032645]
	(No symbol) [0x0x10614dc]
	(No symbol) [0x0x10320d4]
	(No symbol) [0x0x1061754]
	(No symbol) [0x0x1082bcb]
	(No symbol) [0x0x10612d6]
	(No symbol) [0x0x1030910]
	(No symbol) [0x0x1031784]
	GetHandleVerifier [0x0x14438b3+2439203]
	GetHandleVerifier [0x0x143eae2+2419282]
	GetHandleVerifier [0x0x122712a+225434]
	GetHandleVerifier [0x0x1216e08+159096]
	GetHandleVerifier [0x0x121dd5d+187597]
	GetHandleVerifier [0x0x1207ad8+96840]
	GetHandleVerifier [0x0x1207c62+97234]
	GetHandleVerifier [0x0x11f277a+9962]
	BaseThreadInitThunk [0x0x76a1fcc9+25]
	RtlGetAppContainerNamedObjectPath [0x0x779d82ae+286]
	RtlGetAppContainerNamedObjectPath [0x0x779d827e+238]
"
"https://www.youngwonks.com/blog/features-of-a-computer#:~:text=Computers%20showcase%20remarkable%20versatility%2C%20adapting%20to%20a,computers%20makes%20them%20indispensable%20in%20various%20fields.","Error: Message: element not interactable
  (Session info: chrome=139.0.7258.128); For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors#elementnotinteractableexception
Stacktrace:
	GetHandleVerifier [0x0xe8ffc3+65331]
	GetHandleVerifier [0x0xe90004+65396]
	(No symbol) [0x0xc83dc0]
	(No symbol) [0x0xcc73a9]
	(No symbol) [0x0xcc5aa2]
	(No symbol) [0x0xcf14dc]
	(No symbol) [0x0xcc20d4]
	(No symbol) [0x0xcf1754]
	(No symbol) [0x0xd12bcb]
	(No symbol) [0x0xcf12d6]
	(No symbol) [0x0xcc0910]
	(No symbol) [0x0xcc1784]
	GetHandleVerifier [0x0x10d38b3+2439203]
	GetHandleVerifier [0x0x10ceae2+2419282]
	GetHandleVerifier [0x0xeb712a+225434]
	GetHandleVerifier [0x0xea6e08+159096]
	GetHandleVerifier [0x0xeadd5d+187597]
	GetHandleVerifier [0x0xe97ad8+96840]
	GetHandleVerifier [0x0xe97c62+97234]
	GetHandleVerifier [0x0xe8277a+9962]
	BaseThreadInitThunk [0x0x76a1fcc9+25]
	RtlGetAppContainerNamedObjectPath [0x0x779d82ae+286]
	RtlGetAppContainerNamedObjectPath [0x0x779d827e+238]
"
https://en.wikipedia.org/wiki/Computer_hardware,Form filled ✅ (screenshot: screenshots\1755789896.png)
https://greenwoodhigh.edu.in/computer-full-form-explained/#:~:text=These%20display%20the%20results%20from%20the%20computer.%20Examples%20include%20monitors%2C%20printers%2C%20and%20speakers.,"Error: Message: element not interactable
  (Session info: chrome=139.0.7258.128); For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors#elementnotinteractableexception
Stacktrace:
	GetHandleVerifier [0x0x62ffc3+65331]
	GetHandleVerifier [0x0x630004+65396]
	(No symbol) [0x0x423dc0]
	(No symbol) [0x0x4673a9]
	(No symbol) [0x0x465aa2]
	(No symbol) [0x0x4914dc]
	(No symbol) [0x0x4620d4]
	(No symbol) [0x0x491754]
	(No symbol) [0x0x4b2bcb]
	(No symbol) [0x0x4912d6]
	(No symbol) [0x0x460910]
	(No symbol) [0x0x461784]
	GetHandleVerifier [0x0x8738b3+2439203]
	GetHandleVerifier [0x0x86eae2+2419282]
	GetHandleVerifier [0x0x65712a+225434]
	GetHandleVerifier [0x0x646e08+159096]
	GetHandleVerifier [0x0x64dd5d+187597]
	GetHandleVerifier [0x0x637ad8+96840]
	GetHandleVerifier [0x0x637c62+97234]
	GetHandleVerifier [0x0x62277a+9962]
	BaseThreadInitThunk [0x0x76a1fcc9+25]
	RtlGetAppContainerNamedObjectPath [0x0x779d82ae+286]
	RtlGetAppContainerNamedObjectPath [0x0x779d827e+238]
"
https://www.just.edu.jo/~mqais/CIS99/PDF/Ch.01_Introduction_%20to_computers.pdf,No form found ❌
https://www.youtube.com/watch?v=CxGSnA-RTsA&pp=0gcJCf8Ao7VqN5tD&t=0,Form filled ✅ (screenshot: screenshots\1755789997.png)
"https://en.wikipedia.org/wiki/Computer#:~:text=A%20computer%20is%20a%20machine,computer%20network%20or%20computer%20cluster.",Form filled ✅ (screenshot: screenshots\1755790018.png)
https://www.youtube.com/watch?v=Cu3R5it4cQs&t=0,Form filled ✅ (screenshot: screenshots\1755790041.png)
https://www.youtube.com/watch?v=CxGSnA-RTsA&pp=0gcJCf8Ao7VqN5tD&t=903,Form filled ✅ (screenshot: screenshots\1755790060.png)
https://www.youtube.com/watch?v=CxGSnA-RTsA&pp=0gcJCf8Ao7VqN5tD&t=135,Form filled ✅ (screenshot: screenshots\1755790078.png)
"https://www.britannica.com/technology/computer#:~:text=A%20computer%20is%20a%20machine,weighing%20more%20than%20300%20tons.","Error: Message: element not interactable
  (Session info: chrome=139.0.7258.128); For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors#elementnotinteractableexception
Stacktrace:
	GetHandleVerifier [0x0x4affc3+65331]
	GetHandleVerifier [0x0x4b0004+65396]
	(No symbol) [0x0x2a3dc0]
	(No symbol) [0x0x2edb4b]
	(No symbol) [0x0x2e2645]
	(No symbol) [0x0x3114dc]
	(No symbol) [0x0x2e20d4]
	(No symbol) [0x0x311754]
	(No symbol) [0x0x332bcb]
	(No symbol) [0x0x3112d6]
	(No symbol) [0x0x2e0910]
	(No symbol) [0x0x2e1784]
	GetHandleVerifier [0x0x6f38b3+2439203]
	GetHandleVerifier [0x0x6eeae2+2419282]
	GetHandleVerifier [0x0x4d712a+225434]
	GetHandleVerifier [0x0x4c6e08+159096]
	GetHandleVerifier [0x0x4cdd5d+187597]
	GetHandleVerifier [0x0x4b7ad8+96840]
	GetHandleVerifier [0x0x4b7c62+97234]
	GetHandleVerifier [0x0x4a277a+9962]
	BaseThreadInitThunk [0x0x76a1fcc9+25]
	RtlGetAppContainerNamedObjectPath [0x0x779d82ae+286]
	RtlGetAppContainerNamedObjectPath [0x0x779d827e+238]
"
https://www.youtube.com/watch?v=CxGSnA-RTsA&pp=0gcJCf8Ao7VqN5tD&t=690,Form filled ✅ (screenshot: screenshots\1755790138.png)
https://www.youtube.com/watch?v=CxGSnA-RTsA&pp=0gcJCf8Ao7VqN5tD&t=827,Form filled ✅ (screenshot: screenshots\1755790160.png)
https://www.youtube.com/watch?v=mCq8-xTH7jA&t=265,Form filled ✅ (screenshot: screenshots\1755790181.png)
https://www.youtube.com/watch?v=mCq8-xTH7jA&t=5,Form filled ✅ (screenshot: screenshots\1755790202.png)
https://www.youtube.com/watch?v=mCq8-xTH7jA&t=182,Form filled ✅ (screenshot: screenshots\1755790224.png)
"https://askfilo.com/user-question-answers-smart-solutions/question-collect-the-picture-of-computer-and-type-of-3335363131373731#:~:text=Types%20of%20Computers%20with%20Descriptions%20A%20powerful,web%20hosting%2C%20database%20management%2C%20and%20enterprise%20applications.",Form filled ✅ (screenshot: screenshots\1755790263.png)
https://www.youtube.com/watch?v=CxGSnA-RTsA&pp=0gcJCf8Ao7VqN5tD&t=609,Form filled ✅ (screenshot: screenshots\1755790286.png)
https://www.youtube.com/watch?v=CxGSnA-RTsA&pp=0gcJCf8Ao7VqN5tD&t=116,Form filled ✅ (screenshot: screenshots\1755790305.png)
"https://kids.britannica.com/kids/article/computer/352990#:~:text=A%20computer%20is%20a,from%20all%20over%20the%20world.","Error: Message: element click intercepted: Element <button class=""btn btn-default"" type=""submit"">...</button> is not clickable at point (1151, 22). Other element would receive the click: <div id=""cmpwrapper"" class=""cmpwrapper""></div>
  (Session info: chrome=139.0.7258.128); For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors#elementclickinterceptedexception
Stacktrace:
	GetHandleVerifier [0x0xa3ffc3+65331]
	GetHandleVerifier [0x0xa40004+65396]
	(No symbol) [0x0x833f63]
	(No symbol) [0x0x882ce0]
	(No symbol) [0x0x88109a]
	(No symbol) [0x0x87ebf2]
	(No symbol) [0x0x87dee1]
	(No symbol) [0x0x872645]
	(No symbol) [0x0x8a14dc]
	(No symbol) [0x0x8720d4]
	(No symbol) [0x0x8a1754]
	(No symbol) [0x0x8c2bcb]
	(No symbol) [0x0x8a12d6]
	(No symbol) [0x0x870910]
	(No symbol) [0x0x871784]
	GetHandleVerifier [0x0xc838b3+2439203]
	GetHandleVerifier [0x0xc7eae2+2419282]
	GetHandleVerifier [0x0xa6712a+225434]
	GetHandleVerifier [0x0xa56e08+159096]
	GetHandleVerifier [0x0xa5dd5d+187597]
	GetHandleVerifier [0x0xa47ad8+96840]
	GetHandleVerifier [0x0xa47c62+97234]
	GetHandleVerifier [0x0xa3277a+9962]
	BaseThreadInitThunk [0x0x76a1fcc9+25]
	RtlGetAppContainerNamedObjectPath [0x0x779d82ae+286]
	RtlGetAppContainerNamedObjectPath [0x0x779d827e+238]
"
